"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USC00450872","BREMERTON, WA US","2000-03-31","0.00","0.0",,"60","38",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-01","0.00","0.0",,"64","43",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-02","0.00","0.0",,"67","36",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-03","0.00","0.0",,"66","41",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-04","0.00","0.0",,"69","45",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-05","0.00","0.0",,"52","35",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-06","0.00","0.0",,"52","40",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-07","0.00","0.0",,"54","36",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-08","0.00","0.0",,"61","41",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-09","0.00","0.0",,"66","41",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-10","0.00","0.0",,"54","38",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-11","0.00","0.0",,"62","41",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-12","0.00","0.0",,"69","51",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-13","0.02","0.0",,"64","44",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-14","0.17","0.0",,"62","49",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-15","0.06","0.0",,"56","46",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-16","0.00","0.0",,"60","40",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-17","0.00","0.0",,"55","39",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-18","0.00","0.0",,"64","38",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-19","0.00","0.0",,"68","44",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-20","0.00","0.0",,"63","48",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-21","0.00","0.0",,"69","44",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-22","0.20","0.0",,"67","44",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-23","0.20","0.0",,"59","41",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-24","0.17","0.0",,"53","33",,,,,,,,,,,,,,,,,,,,,,
"USC00450872","BREMERTON, WA US","2000-04-25","0.36","0.0",,"56","42",,,,,,,,,,,,,,,,,,,,,,
